                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5161,                  2.627,                 1.4809,                0.47733,                0.39543,                 0.4059,                0.18683,                 1.4781,                  2.248,                 1.3556,              0.0032967,              0.0032967,              0.0032967
                      1,                 1.4381,                 1.8438,                 1.4082,                 0.4724,                0.54618,                0.50642,                0.24196,                 1.5205,                 1.8386,                 1.4774,              0.0066082,              0.0066082,              0.0066082
                      2,                 1.4753,                 1.7991,                 1.4498,                0.46724,                0.44128,                0.37718,                0.17638,                 1.6368,                 2.9266,                  1.598,              0.0098976,              0.0098976,              0.0098976
                      3,                  1.572,                 1.8936,                 1.5339,                0.39517,                0.38896,                0.31833,                0.13376,                 1.8074,                  2.419,                 1.7242,               0.009901,               0.009901,               0.009901
                      4,                 1.5748,                 1.7937,                 1.5111,                0.41719,                0.31662,                0.28477,                0.11856,                 1.9605,                 2.3613,                 1.8847,               0.009901,               0.009901,               0.009901
                      5,                 1.5509,                 1.7465,                 1.5165,                0.18861,                0.44398,                0.22068,                0.07938,                 2.1378,                 3.6248,                 1.8919,               0.009868,               0.009868,               0.009868
                      6,                 1.5327,                 1.6544,                 1.4784,                0.46655,                0.49623,                0.44248,                0.21605,                 1.6683,                 1.7358,                 1.5871,               0.009835,               0.009835,               0.009835
                      7,                 1.5022,                 1.6147,                 1.4764,                  0.552,                0.57101,                0.54742,                0.29359,                 1.5397,                 1.7978,                 1.4715,               0.009802,               0.009802,               0.009802
                      8,                 1.4894,                 1.5628,                 1.4646,                0.55153,                0.47583,                0.49895,                0.23534,                 1.7506,                 1.7716,                 1.6927,               0.009769,               0.009769,               0.009769
                      9,                 1.4775,                 1.5308,                 1.4508,                0.56314,                0.59712,                0.58536,                0.30451,                 1.5535,                 1.5908,                 1.4821,               0.009736,               0.009736,               0.009736
                     10,                 1.4538,                 1.5053,                 1.4448,                0.69769,                0.55086,                0.66235,                0.35418,                 1.4683,                 1.3255,                 1.4402,               0.009703,               0.009703,               0.009703
                     11,                  1.422,                 1.4403,                 1.4214,                0.51673,                0.42455,                0.47505,                0.25538,                 1.5717,                 1.7145,                  1.515,                0.00967,                0.00967,                0.00967
                     12,                 1.4296,                 1.4277,                 1.4238,                0.64285,                0.61567,                0.64193,                0.33194,                 1.5334,                 1.3467,                 1.4661,               0.009637,               0.009637,               0.009637
                     13,                 1.4062,                 1.3919,                 1.4063,                0.70573,                0.67232,                0.72363,                  0.405,                 1.3895,                 1.2222,                 1.3186,               0.009604,               0.009604,               0.009604
                     14,                 1.4011,                 1.3449,                 1.3963,                0.71902,                0.64869,                0.70963,                0.39795,                 1.4267,                 1.1836,                 1.3667,               0.009571,               0.009571,               0.009571
